drag,lift,downforce,drag_coef,lift_coef
0.000000,0.000000,-0.000000,0.000000,0.000000
263.317963,23.001869,-23.001869,0.955349,0.083453
-19.191648,-0.090081,0.090081,-0.069630,-0.000327
13.410552,0.100310,-0.100310,0.048655,0.000364
17.277225,4.203967,-4.203967,0.062684,0.015252
18.647858,6.465221,-6.465221,0.067657,0.023457
18.421688,6.960234,-6.960234,0.066836,0.025253
18.783133,8.384992,-8.384992,0.068147,0.030422
20.007547,9.373624,-9.373624,0.072590,0.034009
3.063936,9.974328,-9.974328,0.011116,0.036188
15.242361,8.354317,-8.354317,0.055301,0.030310
19.714581,10.687137,-10.687137,0.071527,0.038774
20.117020,10.883193,-10.883193,0.072987,0.039486
20.504538,10.950451,-10.950451,0.074393,0.039730
23.491138,11.017488,-11.017488,0.085229,0.039973
21.578827,11.070224,-11.070224,0.078291,0.040164
21.393957,10.530896,-10.530896,0.077620,0.038207
20.767662,9.904522,-9.904522,0.075348,0.035935
20.030567,9.176102,-9.176102,0.072673,0.033292
19.624035,8.294319,-8.294319,0.071198,0.030093
19.425655,7.484759,-7.484759,0.070479,0.027156
19.069660,6.625834,-6.625834,0.069187,0.024039
18.758934,5.803002,-5.803002,0.068060,0.021054
18.842062,5.437362,-5.437362,0.068361,0.019727
18.630781,5.079071,-5.079071,0.067595,0.018427
18.235466,4.980332,-4.980332,0.066160,0.018069
17.593321,5.066356,-5.066356,0.063831,0.018381
17.416477,5.353646,-5.353646,0.063189,0.019424
17.194454,5.920532,-5.920532,0.062384,0.021480
16.996706,6.321210,-6.321210,0.061666,0.022934
16.831388,6.482957,-6.482957,0.061066,0.023521
16.798584,6.544546,-6.544546,0.060947,0.023744
16.793573,6.537251,-6.537251,0.060929,0.023718
16.693731,6.330534,-6.330534,0.060567,0.022968
16.554344,6.143096,-6.143096,0.060061,0.022288
16.327929,6.114725,-6.114725,0.059240,0.022185
15.913230,6.117176,-6.117176,0.057735,0.022194
15.679009,6.110868,-6.110868,0.056885,0.022171
15.455201,6.143093,-6.143093,0.056073,0.022288
15.373120,5.931961,-5.931961,0.055775,0.021522
15.192396,5.623461,-5.623461,0.055120,0.020403
15.193064,5.479294,-5.479294,0.055122,0.019880
15.318245,5.577923,-5.577923,0.055576,0.020237
15.345672,5.713008,-5.713008,0.055676,0.020727
15.269527,5.715879,-5.715879,0.055400,0.020738
15.126922,5.729295,-5.729295,0.054882,0.020787
14.864103,5.772020,-5.772020,0.053929,0.020942
14.700686,5.739000,-5.739000,0.053336,0.020822
14.695480,5.764280,-5.764280,0.053317,0.020913
14.411174,5.553016,-5.553016,0.052285,0.020147
